Nama,Brand,Tipe_Produk,SKU_Induk,Link_Gambar,Link_Produk,Varian,Kapasitas,Warna,SKU_Varian,Harga_Normal,Harga_Promo,Stok_Qty,Status_Stok,Image_Count,Image_URLs
Xiaomi Poco M5S 4/64GB - Blue,Xiaomi,Smartphones,8100098293,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5s_blue1.jpg,https://eraspace.com/erafone/xiaomi-poco-m5s-4-64gb-blue,-,-,-,8100098293,1999000,1999000,0,Habis,10,"https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5s_blue1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5s_blue2.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5s_blue3.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi-poco-m5s-blue4new.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi-poco-m5s-blue5new.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5s_blue6.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5s_blue7.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi-poco-m5s-blue8new.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi-poco-m5s-blue9new.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi-poco-m5s-blue10new.jpg"
realme 10 8/256GB - Black,realme,Smartphones,8100080701,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_10_black1_1.jpg,https://eraspace.com/erafone/realme-10-8-256gb-black,-,-,-,8100080701,3399000,3399000,0,Habis,6,"https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_10_black1_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_10_black2_1_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_10_black3_1_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_10_black5_1_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_10_black4_1_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_10_black6_1_1.jpg"
Tecno Pova 4 8/128GB - Grey,Tecno,Smartphones,8100077895,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_pova_4_grey_1.jpg,https://eraspace.com/erafone/tecno-pova-4-8-128gb-grey,-,-,-,8100077895,1999000,1999000,0,Habis,7,"https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_pova_4_grey_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_pova_4_grey_2.jpg, https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_pova_4_grey_3.jpg, https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_pova_4_grey_4.jpg, https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_pova_4_grey_5.jpg, https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_pova_4_grey_6.jpg, https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_pova_4_grey_7.jpg"
Xiaomi Poco M5 4/64GB - Yellow,Xiaomi,Smartphones,8100077857,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_1.jpg,https://eraspace.com/erafone/xiaomi-poco-m5-4-64gb-yellow,-,-,-,8100077857,1299000,1299000,0,Habis,9,"https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_2.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_3.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_4.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_5.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_6.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_7.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_8.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_poco_m5_yellow_9.jpg"
Xiaomi 12 Lite 8/256GB - Pink,Xiaomi,Smartphones,8100060784,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_12_lite_8_256gb_pink_7.jpg,https://eraspace.com/erafone/xiaomi-12-lite-8-256gb-pink,-,-,-,8100060784,4999000,4999000,0,Habis,7,"https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_12_lite_8_256gb_pink_7.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_12_lite_8_256gb_pink_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_12_lite_8_256gb_pink_2.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_12_lite_8_256gb_pink_3.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_12_lite_8_256gb_pink_4.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_12_lite_8_256gb_pink_5.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_12_lite_8_256gb_pink_6.jpg"
Xiaomi Poco F4 8/256GB - Night Black,Xiaomi,Smartphones,8100056746,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno11_pro_5g_rock_grey_1_new.jpg,https://eraspace.com/erafone/xiaomi-poco-f4-8-256gb-night-black,-,-,-,8100056746,5699000,5699000,0,Habis,7,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno11_pro_5g_rock_grey_1_new.jpg, https://cdnpro.eraspace.com/media/catalog/product/p/o/poco_f4_night_black_2_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/p/o/poco_f4_night_black_3_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/p/o/poco_f4_night_black_4_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/p/o/poco_f4_night_black_5_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/p/o/poco_f4_night_black_6_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/p/o/poco_f4_night_black_7_1.jpg"
Infinix GT20 Pro 8/256GB - Mecha Silver,Infinix,Smartphones,8100147778,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_1.jpg,https://eraspace.com/erafone/infinix-gt20-pro-8-256gb-mecha-silver,-,-,-,8100147778,3999000,3999000,0,Habis,9,"https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_2.jpg, https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_3.jpg, https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_4.jpg, https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_5.jpg, https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_6.jpg, https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_7.jpg, https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_8.jpg, https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_gt20_pro_mecha_silver_9.jpg"
realme C63 6/128GB - Jade Green,realme,Smartphones,8100147684,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_1.jpg,https://eraspace.com/erafone/realme-c63-6-128gb-jade-green,-,-,-,8100147684,1899000,1899000,0,Habis,9,"https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_2.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_3.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_4.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_5.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_6.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_7.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_8.jpg, https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c63_jade_green_9.jpg"
Xiaomi Redmi 13 8/256GB - Ocean Blue,Xiaomi,Smartphones,8100149552,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_1_1.jpg,https://eraspace.com/erafone/xiaomi-redmi-13-8-256gb-ocean-blue,-,-,-,8100149552,1799000,1799000,0,Habis,11,"https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_1_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_2_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_3_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_4_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_5_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_6_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_7_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_8_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_9_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_10_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_blue_11_1.jpg"
Xiaomi Redmi 13 8/128GB - Midnight Black,Xiaomi,Smartphones,8100149548,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_1.jpg,https://eraspace.com/erafone/xiaomi-redmi-13-8-128gb-midnight-black,-,-,-,8100149548,1699000,1699000,0,Habis,11,"https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_1.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_2.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_3.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_4.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_5.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_6.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_7.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_8.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_9.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_10.jpg, https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_13_black_11.jpg"
